team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['WISKUS SHANE', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'JUDA PAUL', 'WHITTENBURG DONNELL']",3.473632813,2.738307024,3.473632813,1,1
"['MOLDAUER YUL KYUNG TAE', 'WISKUS SHANE', 'DIAB ALEX', 'HALE DALLAS', 'BRIONES BRANDON']",3.463867188,3.251870074,3.473632813,2,1
"['LOOS RILEY', 'DIAB ALEX', 'HALE DALLAS', 'MOLDAUER YUL', 'GUIMARAES VITALIY']",3.302734375,2.500637677,3.473632813,3,1
"['WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT', 'YODER ALEC', 'JUDA PAUL']",2.823242188,2.270778921,3.473632813,4,1
"['YOUNG KHOI ALEXANDER', 'WALKER COLT', 'NGUYEN BRANDON', 'LOOS RILEY', 'BRIONES BRANDON']",2.526367188,1.512500573,3.473632813,5,1
"['HONG ASHER', 'DIAB ALEX', 'GUIMARAES VITALIY', 'MOLDAUER YUL', 'LOOS RILEY']",1.783203125,2.516003024,3.473632813,6,1
"['LOOS RILEY', 'HONG ASHER', 'RICHARD FREDERICK NATHANIEL', 'BOLD CREW', 'WALKER COLT']",1.046875,1.872678397,3.473632813,7,1
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",0.977539063,1.752183185,3.473632813,8,1
"['YOUNG KHOI ALEXANDER', 'WISKUS SHANE', 'NEDOROSCIK STEPHEN', 'MIKULAK SAMUEL', 'MOLDAUER YUL']",0.6875,1.216031281,3.473632813,9,1
"['HONG ASHER', 'NGUYEN BRANDON', 'JUDA PAUL', 'BOLD CREW', 'MOLDAUER YUL KYUNG TAE']",0.37890625,0.773200758,3.473632813,10,1
"['RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'BRIONES BRANDON', 'HALE DALLAS', 'YODER ALEC']",0.334960938,0.672637731,3.473632813,11,1
"['GUIMARAES VITALIY', 'NGUYEN BRANDON', 'HONG ASHER', 'LOOS RILEY', 'SKIRKEY IAN HUNTER']",0.244140625,0.493611773,3.473632813,12,1
"['WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT', 'YODER ALEC', 'JUDA PAUL']",4.260742188,3.948564845,4.260742188,1,2
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",3.745117188,3.107014258,4.260742188,2,2
"['YOUNG KHOI ALEXANDER', 'WISKUS SHANE', 'NEDOROSCIK STEPHEN', 'MIKULAK SAMUEL', 'MOLDAUER YUL']",3.724609375,3.208543347,4.260742188,3,2
"['WISKUS SHANE', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'JUDA PAUL', 'WHITTENBURG DONNELL']",3.641601563,3.088433796,4.260742188,4,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MALONE BRODY', 'MOLDAUER YUL', 'WISKUS SHANE']",3.456054688,2.525926159,4.260742188,5,2
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",3.360351563,2.660831157,4.260742188,6,2
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",2.817382813,1.815103212,4.260742188,7,2
"['DIAB ALEX', 'MIKULAK SAMUEL', 'MOLDAUER YUL', 'MOLDAUER YUL KYUNG TAE', 'NEDOROSCIK STEPHEN']",2.80078125,2.177281891,4.260742188,8,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MOLDAUER YUL', 'WALKER COLT', 'YODER ALEC']",2.76953125,2.200986681,4.260742188,9,2
"['BRIONES BRANDON', 'DIAB ALEX', 'HALE DALLAS', 'JUDA PAUL', 'WISKUS SHANE']",2.40625,1.709677419,4.260742188,10,2
"['HONG ASHER', 'JUDA PAUL', 'MIKULAK SAMUEL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE']",2.006835938,3.277568083,4.260742188,11,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MOLDAUER YUL KYUNG TAE', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",1.377929688,2.045690333,4.260742188,12,2
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",3.91796875,3.156509653,3.91796875,1,3
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",3.887695313,3.528919805,3.91796875,2,3
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",3.854492188,3.889852723,3.91796875,3,3
"['WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT', 'YODER ALEC', 'JUDA PAUL']",3.720703125,2.707840756,3.91796875,4,3
"['DIAB ALEX', 'JUDA PAUL', 'MALONE BRODY', 'MIKULAK SAMUEL', 'WISKUS SHANE']",3.52734375,2.712839076,3.91796875,5,3
"['MALONE BRODY', 'MOLDAUER YUL', 'NGUYEN BRANDON', 'WISKUS SHANE', 'YODER ALEC']",3.514648438,3.106334578,3.91796875,6,3
"['JUDA PAUL', 'MIKULAK SAMUEL', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'YOUNG KHOI ALEXANDER']",3.3671875,3.139723851,3.91796875,7,3
"['JUDA PAUL', 'MALONE BRODY', 'WALKER COLT', 'WISKUS SHANE', 'YODER ALEC']",3.216796875,2.220792858,3.91796875,8,3
"['BRIONES BRANDON', 'JUDA PAUL', 'MALONE BRODY', 'WHITTENBURG DONNELL', 'YODER ALEC']",2.9765625,2.408052297,3.91796875,9,3
"['MALONE BRODY', 'MOLDAUER YUL', 'NGUYEN BRANDON', 'WHITTENBURG DONNELL', 'YODER ALEC']",2.258789063,3.003343987,3.91796875,10,3
"['JUDA PAUL', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YOUNG KHOI ALEXANDER']",1.9765625,3.14705523,3.91796875,11,3
"['JUDA PAUL', 'MALONE BRODY', 'MIKULAK SAMUEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",1.890625,2.721163245,3.91796875,12,3
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",4.081054688,3.886874351,4.081054688,1,4
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",4.05078125,3.408953446,4.081054688,2,4
"['JUDA PAUL', 'MALONE BRODY', 'WALKER COLT', 'WISKUS SHANE', 'YODER ALEC']",3.958007813,3.248479312,4.081054688,3,4
"['DIAB ALEX', 'JUDA PAUL', 'MALONE BRODY', 'MIKULAK SAMUEL', 'WISKUS SHANE']",3.805664063,3.241766519,4.081054688,4,4
"['JUDA PAUL', 'MALONE BRODY', 'WALKER COLT', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",3.788085938,3.007834456,4.081054688,5,4
"['JUDA PAUL', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",3.689453125,2.634649163,4.081054688,6,4
"['DIAB ALEX', 'JUDA PAUL', 'MALONE BRODY', 'MIKULAK SAMUEL', 'WALKER COLT']",3.629882813,3.132674082,4.081054688,7,4
"['MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",3.485351563,3.100469476,4.081054688,8,4
"['MALONE BRODY', 'MOLDAUER YUL', 'NGUYEN BRANDON', 'WISKUS SHANE', 'YODER ALEC']",3.466796875,2.423138899,4.081054688,9,4
"['BOLD CREW', 'DIAB ALEX', 'JUDA PAUL', 'MIKULAK SAMUEL', 'WALKER COLT']",3.215820313,2.644480656,4.081054688,10,4
"['DIAB ALEX', 'MALONE BRODY', 'MIKULAK SAMUEL', 'MOLDAUER YUL', 'WISKUS SHANE']",1.791992188,2.92149984,4.081054688,11,4
"['DIAB ALEX', 'JUDA PAUL', 'MIKULAK SAMUEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",1.241210938,2.128466176,4.081054688,12,4
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",4.494140625,3.552262799,4.494140625,1,5
"['JUDA PAUL', 'MALONE BRODY', 'WALKER COLT', 'WISKUS SHANE', 'YODER ALEC']",4.325195313,3.302746785,4.494140625,2,5
"['JUDA PAUL', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",4.176757813,3.918872762,4.494140625,3,5
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",4.166015625,3.295970033,4.494140625,4,5
"['DIAB ALEX', 'JUDA PAUL', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE']",3.993164063,3.621654104,4.494140625,5,5
"['JUDA PAUL', 'MIKULAK SAMUEL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",3.958984375,3.446996426,4.494140625,6,5
"['MALONE BRODY', 'MIKULAK SAMUEL', 'SKIRKEY IAN HUNTER', 'WISKUS SHANE', 'YODER ALEC']",3.919921875,3.221342711,4.494140625,7,5
"['JUDA PAUL', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WALKER COLT', 'WISKUS SHANE']",3.75390625,2.889525293,4.494140625,8,5
"['JUDA PAUL', 'MALONE BRODY', 'MIKULAK SAMUEL', 'WISKUS SHANE', 'YODER ALEC']",3.325195313,3.074007782,4.494140625,9,5
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WALKER COLT', 'YODER ALEC']",3.231445313,2.428296638,4.494140625,10,5
"['JUDA PAUL', 'MALONE BRODY', 'WALKER COLT', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",2.884765625,2.172436309,4.494140625,11,5
"['DIAB ALEX', 'MALONE BRODY', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",1.903320313,2.924172738,4.494140625,12,5
"['JUDA PAUL', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",4.704101563,4.351263708,4.704101563,1,6
