team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['MOLDAUER YUL KYUNG TAE', 'MALONE BRODY', 'YOUNG KHOI ALEXANDER', 'SKIRKEY IAN HUNTER', 'NGUYEN BRANDON']",3.2021484375,2.407776415872434,3.2021484375,1,1
"['HONG ASHER', 'WALKER COLT', 'LOOS RILEY', 'BOLD CREW', 'NGUYEN BRANDON']",2.697265625,1.9864636791300099,3.2021484375,2,1
"['YOUNG KHOI ALEXANDER', 'MIKULAK SAMUEL', 'DIAB ALEX', 'HONG ASHER', 'BOLD CREW']",2.6748046875,1.8482013303396871,3.2021484375,3,1
"['HALE DALLAS', 'YOUNG KHOI ALEXANDER', 'MOLDAUER YUL KYUNG TAE', 'SKIRKEY IAN HUNTER', 'MOLDAUER YUL']",2.271484375,1.1794011180351907,3.2021484375,4,1
"['MOLDAUER YUL KYUNG TAE', 'BOLD CREW', 'NEDOROSCIK STEPHEN', 'YOUNG KHOI ALEXANDER', 'MOLDAUER YUL']",1.6630859375,2.6224483366935485,3.2021484375,5,1
"['MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'JUDA PAUL']",1.658203125,2.2955729166666665,3.2021484375,6,1
"['YOUNG KHOI ALEXANDER', 'RICHARD FREDERICK NATHANIEL', 'LOOS RILEY', 'MOLDAUER YUL', 'BOLD CREW']",1.0771484375,1.8757627306329423,3.2021484375,7,1
"['GUIMARAES VITALIY', 'WISKUS SHANE', 'WALKER COLT', 'BOLD CREW', 'NGUYEN BRANDON']",0.912109375,1.5465198863636365,3.2021484375,8,1
"['DIAB ALEX', 'BRIONES BRANDON', 'GUIMARAES VITALIY', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL']",0.8974609375,1.6444119241813295,3.2021484375,9,1
"['BOLD CREW', 'MOLDAUER YUL KYUNG TAE', 'RICHARD FREDERICK NATHANIEL', 'YODER ALEC', 'HALE DALLAS']",0.8134765625,1.481304030730694,3.2021484375,10,1
"['LOOS RILEY', 'HONG ASHER', 'WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT']",0.7734375,1.3699291300097751,3.2021484375,11,1
"['WHITTENBURG DONNELL', 'SKIRKEY IAN HUNTER', 'MOLDAUER YUL KYUNG TAE', 'RICHARD FREDERICK NATHANIEL', 'WISKUS SHANE']",0.30859375,0.641724706744868,3.2021484375,12,1
"['MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'JUDA PAUL']",3.4814453125,3.272382659762952,3.4814453125,1,2
"['WHITTENBURG DONNELL', 'SKIRKEY IAN HUNTER', 'MOLDAUER YUL KYUNG TAE', 'RICHARD FREDERICK NATHANIEL', 'WISKUS SHANE']",3.169921875,2.4031608932062563,3.4814453125,2,2
"['LOOS RILEY', 'HONG ASHER', 'WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT']",3.0908203125,2.3270319755009776,3.4814453125,3,2
"['GUIMARAES VITALIY', 'WISKUS SHANE', 'WALKER COLT', 'BOLD CREW', 'NGUYEN BRANDON']",2.5869140625,1.5916565478372433,3.4814453125,4,2
"['MALONE BRODY', 'MOLDAUER YUL', 'SKIRKEY IAN HUNTER', 'WHITTENBURG DONNELL', 'YOUNG KHOI ALEXANDER']",2.51171875,1.7320228494623655,3.4814453125,5,2
"['HONG ASHER', 'JUDA PAUL', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WISKUS SHANE']",2.501953125,1.6304947152981428,3.4814453125,6,2
"['JUDA PAUL', 'MALONE BRODY', 'MOLDAUER YUL KYUNG TAE', 'RICHARD FREDERICK NATHANIEL', 'SKIRKEY IAN HUNTER']",2.48046875,1.610566348973607,3.4814453125,7,2
"['BRIONES BRANDON', 'HONG ASHER', 'MOLDAUER YUL KYUNG TAE', 'SKIRKEY IAN HUNTER', 'WALKER COLT']",2.439453125,1.2573275598729228,3.4814453125,8,2
"['GUIMARAES VITALIY', 'HONG ASHER', 'LOOS RILEY', 'WALKER COLT', 'WISKUS SHANE']",1.8837890625,2.5172736055107525,3.4814453125,9,2
"['JUDA PAUL', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'SKIRKEY IAN HUNTER', 'WISKUS SHANE']",1.0693359375,2.203398972079668,3.4814453125,10,2
"['BRIONES BRANDON', 'HONG ASHER', 'LOOS RILEY', 'WALKER COLT', 'WISKUS SHANE']",1.0625,2.26197458455523,3.4814453125,11,2
"['HALE DALLAS', 'MOLDAUER YUL KYUNG TAE', 'SKIRKEY IAN HUNTER', 'YODER ALEC', 'YOUNG KHOI ALEXANDER']",0.7939453125,1.598751183712121,3.4814453125,12,2
"['HONG ASHER', 'JUDA PAUL', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WISKUS SHANE']",3.8388671875,3.2672659686583576,3.8388671875,1,3
"['MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'JUDA PAUL']",3.3330078125,3.166612254093353,3.8388671875,2,3
"['JUDA PAUL', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'SKIRKEY IAN HUNTER', 'WISKUS SHANE']",3.2138671875,2.9463959784335287,3.8388671875,3,3
"['WHITTENBURG DONNELL', 'SKIRKEY IAN HUNTER', 'MOLDAUER YUL KYUNG TAE', 'RICHARD FREDERICK NATHANIEL', 'WISKUS SHANE']",3.212890625,2.597839534457478,3.8388671875,4,3
"['GUIMARAES VITALIY', 'HONG ASHER', 'JUDA PAUL', 'MALONE BRODY', 'WISKUS SHANE']",3.0517578125,2.172294072275171,3.8388671875,5,3
"['GUIMARAES VITALIY', 'JUDA PAUL', 'MALONE BRODY', 'SKIRKEY IAN HUNTER', 'WISKUS SHANE']",3.0517578125,2.236810201307429,3.8388671875,6,3
"['JUDA PAUL', 'MALONE BRODY', 'RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",3.03515625,2.440600562072336,3.8388671875,7,3
"['HONG ASHER', 'JUDA PAUL', 'MALONE BRODY', 'SKIRKEY IAN HUNTER', 'WISKUS SHANE']",2.9775390625,2.2096611910434993,3.8388671875,8,3
